unofficial_name,category,fluid,unit,truth,raw_predicted,predicted,match_type,affected_rows,error
Еозинофіли,Гематологія,Сеча,,Еозинофіли [Наявність] в осаді сечі під світловим мікроскопом.,Еозинофіли [#/об’єм] у крові за допомогою автоматизованого підрахунку.,Еозинофіли [#/об’єм] у крові за допомогою автоматизованого підрахунку.,exact,12,
Гіалінові циліндри LM.LPF (Сеча ос.) [#/Площа],Гематологія,Сеча,#/lpf,Гіалінові циліндри [#/поле зору] в осаді сечі при мікроскопії в полі зору з малим збільшенням.,Зміст не відповідає запропонованим класам,(no_match),no_match,12,
nRBC,Гематологія,Кров,%,Ядерні еритроцити [#/об’єм] у крові за допомогою ручного підрахунку.,Еритроцити [#/об’єм] у крові за допомогою автоматизованого підрахунку.,Еритроцити [#/об’єм] у крові за допомогою автоматизованого підрахунку.,exact,12,
Лейкоцити,Гематологія,Асцит,#/uL,Лейкоцити [#/об’єм] у перитонеальній рідині.,Лейкоцити [#/об’єм] у крові за допомогою ручного підрахунку.,Лейкоцити [#/об’єм] у крові за допомогою ручного підрахунку.,exact,12,
Барбітурати СирПлКров Ql,Хімія,Кров,,"Барбітурати [наявність] у сироватці, плазмі або крові.",Барбітурати [наявність] у сечі.,Барбітурати [наявність] у сечі.,exact,12,
Лейк,Гематологія,Спинномозкова рідина (СМР),%,Застарілі Поліморфноядерні клітини/100 лейкоцитів у спинномозковій рідині.,Лейкоцити [#/об’єм] у спинномозковій рідині.,Лейкоцити [#/об’єм] в спинномозковій рідині.,fuzzy,12,
Tg,Хімія,Кров,mg/dL,Тригліцериди [Маса/об’єм] у сироватці або плазмі -- 12 годин голодування.,Глюкоза [Маса/об’єм] у сироватці або плазмі.,Глюкоза [Маса/об’єм] у сироватці або плазмі.,exact,12,
Онкологія,Хімія,Кров,ng/mL,Простат-специфічний антиген [Маса/об’єм] у сироватці або плазмі.,Глюкоза [Маса/об’єм] у крові,Глюкоза [Маса/об’єм] у крові,exact,12,
ГПТ,Хімія,Кров,mg/dL,Гаптоглобін [Маса/об’єм] у сироватці або плазмі.,Глюкоза [Маса/об’єм] у крові,Глюкоза [Маса/об’єм] у крові,exact,12,
2-Гідроксибензоат,Хімія,Кров,mg/dL,Саліцилати [наявність] у сироватці або плазмі.,Глюкоза [Маса/об’єм] у сироватці або плазмі.,Глюкоза [Маса/об’єм] у сироватці або плазмі.,exact,11,
O2,Гази крові,Кров,L/min,Швидкість потоку кисню при інгаляції.,Сатурація киснем крові,Сатурація киснем крові,exact,11,
IgG,Гази крові,Кров,L/min,Швидкість потоку кисню при інгаляції.,IgG [Маса/об’єм] у сироватці або плазмі,IgG [Маса/об’єм] у сироватці або плазмі.,fuzzy,11,
TIBC,Хімія,Кров,mg/dL,Залізозв'язуюча здатність [Маса/об'єм] у Сироватці або Плазмі.,Хімія,(no_match),no_match,11,
Антидепресант,Хімія,Кров,,Трициклічні антидепресанти [Виявлено] в сироватці або плазмі.,Тромбоцити [#/volume] у крові за допомогою автоматизованого підрахунку.,Тромбоцити [#/volume] у крові за допомогою автоматизованого підрахунку.,exact,11,
Віт М,Хімія,Кров,ng/mL,Фолат [Маса/об’єм] у сироватці або плазмі.,Натрій [Моль/об’єм] у Сироватці або Плазмі,Натрій [Моль/об’єм] у Сироватці або Плазмі,exact,11,
UN,Хімія,Сеча,mg/dL,Сечовина азот [Маса/об’єм] у сечі.,Білірубін.загальний [Наявність] у сечі за допомогою тест-смужки.,Білірубін.загальний [Наявність] у сечі за допомогою тест-смужки.,exact,11,
Натрійуретичний пептид типу B,Хімія,Кров,pg/mL,Натрійуретичний пептид.B прогормон N-кінцевий [Маса/об’єм] у Сироватці або Плазмі.,Натрій [Моль/об’єм] у Сироватці або Плазмі,Натрій [Моль/об’єм] у Сироватці або Плазмі,exact,11,
proBNP,Хімія,Кров,pg/mL,Натрійуретичний пептид.B прогормон N-кінцевий [Маса/об’єм] у Сироватці або Плазмі.,Тропонін I.кардіальний [Маса/об’єм] у Сироватці або Плазмі.,Тропонін I.кардіальний [Маса/об’єм] у Сироватці або Плазмі.,exact,11,
Етанол,Хімія,Кров,mg/dL,Етанол [наявність] у сироватці або плазмі.,(parse_fail),(no_match),parse_fail,11,"HTTP 429: {
    ""error"": {
        ""message"": ""Rate limit reached for gpt-5-nano in organization org-qODUCuXcX5j40qwOmkqY0ZJU on tokens per min (TPM): Limit 200000, Used 198006, Requested 10484. Please try agai"
K+,Хімія,Сеча,mEq/L,Калій [Моль/об’єм] у сечі.,Натрій [Моль/об’єм] у Сироватці або Плазмі,Натрій [Моль/об’єм] у Сироватці або Плазмі,exact,11,
WBC,Гематологія,Інша рідина тіла,%,Моноцити/Лейкоцити в рідині тіла за допомогою ручного підрахунку.,Лейкоцити [#/об’єм] у крові за допомогою ручного підрахунку.,Лейкоцити [#/об’єм] у крові за допомогою ручного підрахунку.,exact,11,
ХСЛПВ,Хімія,Кров,mg/dL,Холестерин у ЛПВЩ [Маса/об’єм] у Сироватці або Плазмі,Глюкоза [Маса/об’єм] у сироватці або плазмі.,Глюкоза [Маса/об’єм] у сироватці або плазмі.,exact,11,
Потенціал для зловживання,Хімія,Кров,,"Барбітурати [наявність] у сироватці, плазмі або крові.",Антиген поверхні вірусу гепатиту B [Виявлено] в сироватці або плазмі за допомогою імуноаналізу.,Антиген поверхні вірусу гепатиту B [Виявлено] в сироватці або плазмі за допомогою імуноаналізу.,exact,11,
Лейкоцит,Гематологія,Спинномозкова рідина (СМР),%,Застарілі Поліморфноядерні клітини/100 лейкоцитів у спинномозковій рідині.,Лейкоцити [#/об’єм] у спинномозковій рідині.,Лейкоцити [#/об’єм] в спинномозковій рідині.,fuzzy,11,
Фрагменти,Гематологія,Кров,ug/mL,"Фібрин+фрагменти фібриногену [Маса/об’єм] у плазмі, бідній на тромбоцити.",Фрагменти [Наявність] у крові за допомогою світлової мікроскопії.,Фрагменти [Наявність] у крові за допомогою світлової мікроскопії.,exact,11,
Еритроцити.креновані,Гематологія,Кров,,Клітини з шипами [Присутність] у крові за допомогою світлової мікроскопії.,Еритроцити [#/об’єм] у крові за допомогою автоматизованого підрахунку.,Еритроцити [#/об’єм] у крові за допомогою автоматизованого підрахунку.,exact,11,
Ціанокобаламін.true (S) [Маса/Об’єм],Хімія,Кров,pg/mL,Застарілий Кобаламін [Маса/об’єм] в Сироватці,Фенітоїн вільний [Маса/об’єм] у сироватці або плазмі.,Фенітоїн вільний [Маса/об’єм] у сироватці або плазмі.,exact,11,
Гемодинаміка,Гази крові,Кров,,Сатурація киснем крові,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,10,
Гемоглобін,Гематологія,Сеча,mg/dL,Гемоглобін [наявність] у сечі за допомогою тест-смужки.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,10,
орто-Гідроксибензойна кислота,Хімія,Кров,mg/dL,Саліцилати [наявність] у сироватці або плазмі.,Хімія,(no_match),no_match,10,
CLIN,Гази крові,Кров,L/min,Швидкість потоку кисню при інгаляції.,Кров Натрій [Моль/об’єм] у крові.,Натрій [Моль/об’єм] у крові.,fuzzy,10,
Птероїлглутамат,Хімія,Кров,ng/mL,Фолат [Маса/об’єм] у сироватці або плазмі.,Аланінамінотрансфераза [Ензиматична активність/об’єм] у сироватці або плазмі.,Аланінамінотрансфераза [Ензиматична активність/об’єм] у сироватці або плазмі.,exact,10,
Азот сечовини крові,Хімія,Сеча,mg/dL,Сечовина азот [Маса/об’єм] у сечі.,Сечовина азот [Маса/об’єм] у Сироватці або Плазмі,Сечовина азот [Маса/об’єм] у Сироватці або Плазмі,exact,10,
Хвороба серця,Хімія,Кров,pg/mL,Натрійуретичний пептид.B прогормон N-кінцевий [Маса/об’єм] у Сироватці або Плазмі.,Хімія,(no_match),no_match,10,
Натріюретичний пептид.B,Хімія,Кров,pg/mL,Натрійуретичний пептид.B прогормон N-кінцевий [Маса/об’єм] у Сироватці або Плазмі.,Натрій [Моль/об’єм] у Сироватці або Плазмі,Натрій [Моль/об’єм] у Сироватці або Плазмі,exact,10,
TCHHDL,Хімія,Кров,Ratio,Холестерин.загальний/Холестерин у ЛПВЩ [Перцентиль],Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,10,
Холестерин,Хімія,Кров,Ratio,Холестерин.загальний/Холестерин у ЛПВЩ [Перцентиль],Холестерин [Маса/об’єм] у сироватці або плазмі.,Холестерин [Маса/об’єм] у сироватці або плазмі.,exact,10,
Хвороба серця,Хімія,Кров,Ratio,Холестерин.загальний/Холестерин у ЛПВЩ [Перцентиль],Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,10,
Дакіоцити LM Ql (Кров),Гематологія,Кров,,Дацироцити [наявність] у крові за допомогою світлової мікроскопії.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,10,
Cl-,Хімія,Сеча,mEq/L,Хлориди [Моль/об’єм] у сечі,Натрій [Моль/об’єм] у Сироватці або Плазмі,Натрій [Моль/об’єм] у Сироватці або Плазмі,exact,10,
Гіалінові циліндри #/поле зору UrnS LPF,Гематологія,Сеча,#/lpf,Гіалінові циліндри [#/поле зору] в осаді сечі при мікроскопії в полі зору з малим збільшенням.,"Зміст помилки, неможливо визначити",(no_match),no_match,10,
кількість nRBC у крові ручний підрахунок,Гематологія,Кров,%,Ядерні еритроцити [#/об’єм] у крові за допомогою ручного підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,10,
Ядерні еритроцити ручний підрахунок (Кров) [#/Vol],Гематологія,Кров,%,Ядерні еритроцити [#/об’єм] у крові за допомогою ручного підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,10,
Білі кров'яні клітини,Гематологія,Асцит,#/uL,Лейкоцити [#/об’єм] у перитонеальній рідині.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,10,
Лейкоцит,Гематологія,Асцит,#/uL,Лейкоцити [#/об’єм] у перитонеальній рідині.,Лейкоцити [#/об’єм] у крові за допомогою ручного підрахунку.,Лейкоцити [#/об’єм] у крові за допомогою ручного підрахунку.,exact,10,
Моноцити,Гематологія,Асцит,%,Моноцити/Лейкоцити в перитонеальній рідині.,Моноцити [#/об’єм] у крові за допомогою автоматизованого підрахунку.,Моноцити [#/об’єм] у крові за допомогою автоматизованого підрахунку.,exact,10,
Амон,Хімія,Кров,umol/L,Амоній [Моль/об’єм] у Плазмі,Амілаза [Ензиматична активність/об’єм] у сироватці або плазмі.,Амілаза [Ензиматична активність/об’єм] у сироватці або плазмі.,exact,10,
Ампер,Хімія,Кров,umol/L,Амоній [Моль/об’єм] у Плазмі,Креатинін [Маса/об’єм] у сироватці або плазмі,Креатинін [Маса/об’єм] у сироватці або плазмі.,fuzzy,10,
Печінка,Хімія,Кров,umol/L,Амоній [Моль/об’єм] у Плазмі,Глюкоза [Маса/об’єм] у крові,Глюкоза [Маса/об’єм] у крові,exact,10,
Фенобарбітал Сироватка Якісний,Хімія,Кров,ug/mL,Фенобарбітал [наявність] у сироватці або плазмі.,(parse_fail),(no_match),parse_fail,10,"HTTP 429: {
    ""error"": {
        ""message"": ""Rate limit reached for gpt-5-nano in organization org-qODUCuXcX5j40qwOmkqY0ZJU on tokens per min (TPM): Limit 200000, Used 194427, Requested 10496. Please try agai"
Враження,Хімія,Сеча,,Фракції білка [Інтерпретація] в сечі за допомогою електрофорезу.,Завзайте Холестерин.у ЛПВЩ [Перцентиль],(no_match),no_match,10,
Натщесерце,Хімія,Кров,mg/dL,Тригліцериди [Маса/об’єм] у сироватці або плазмі -- 12 годин голодування.,Глюкоза [Маса/об’єм] у крові,Глюкоза [Маса/об’єм] у крові,exact,10,
Тригліцериди після 12-годинного голодування [Маса/Об’єм],Хімія,Кров,mg/dL,Тригліцериди [Маса/об’єм] у сироватці або плазмі -- 12 годин голодування.,Тригліцериди [Маса/об’єм] у сироватці або плазмі.,Холестерин [Маса/об’єм] у сироватці або плазмі.,fuzzy,10,
Тригліцериди,Хімія,Кров,MG/DL,Тригліцериди [Маса/об’єм] у сироватці або плазмі -- 12 годин голодування.,Тригліцериди [Маса/об’єм] у сироватці або плазмі.,Холестерин [Маса/об’єм] у сироватці або плазмі.,fuzzy,10,
Клітини морського їжака,Гематологія,Кров,,Клітини з шипами [Присутність] у крові за допомогою світлової мікроскопії.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,10,
Антиген,Хімія,Кров,ng/mL,Простат-специфічний антиген [Маса/об’єм] у сироватці або плазмі.,Антиген поверхні вірусу гепатиту B [Виявлено] в сироватці або плазмі за допомогою імуноаналізу.,Антиген поверхні вірусу гепатиту B [Виявлено] в сироватці або плазмі за допомогою імуноаналізу.,exact,10,
HP,Хімія,Кров,mg/dL,Гаптоглобін [Маса/об’єм] у сироватці або плазмі.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,10,
CN-Cbl,Хімія,Кров,pg/mL,Застарілий Кобаламін [Маса/об’єм] в Сироватці,Фосфат [Маса/об’єм] у Сироватці або Плазмі,Фосфат [Маса/об’єм] у Сироватці або Плазмі,exact,10,
Тріщина,Хімія,Сеча,,Кокаїн [Виявлено] в сечі.,Заміни,(no_match),no_match,9,
Білі кров'яні клітини,Гематологія,Спинномозкова рідина (СМР),#/uL,Лейкоцити [#/об’єм] в спинномозковій рідині.,Лейкоцити [#/об’єм] у крові за допомогою ручного підрахунку.,Лейкоцити [#/об’єм] у крові за допомогою ручного підрахунку.,exact,9,
Лімфоцит,Гематологія,Асцит,%,Лімфоцити/Лейкоцити в перитонеальній рідині,MCV [Середній об’єм еритроцитів] в еритроцитах за допомогою автоматизованого підрахунку.,MCV [Середній об’єм еритроцитів] в еритроцитах за допомогою автоматизованого підрахунку.,exact,9,
Загальна здатність зв'язування заліза.,Хімія,Кров,mg/dL,Залізозв'язуюча здатність [Маса/об'єм] у Сироватці або Плазмі.,Залізо [маса/об’єм] у сироватці або плазмі.,Залізо [маса/об’єм] у сироватці або плазмі.,exact,9,
Ретикулоцит,Гематологія,Кров,%,Ретикулоцити/Еритроцити в крові за допомогою автоматизованого підрахунку.,(parse_fail),(no_match),parse_fail,9,"HTTP 429: {
    ""error"": {
        ""message"": ""Rate limit reached for gpt-5-nano in organization org-qODUCuXcX5j40qwOmkqY0ZJU on tokens per min (TPM): Limit 200000, Used 198280, Requested 10489. Please try agai"
Вітамін M,Хімія,Кров,ng/mL,Фолат [Маса/об’єм] у сироватці або плазмі.,Хімія,(no_match),no_match,9,
Печінка,Хімія,Кров,ug/mL,Ацетамінофен [наявність] у сироватці або плазмі.,Глюкоза [Маса/об’єм] у сироватці або плазмі.,Глюкоза [Маса/об’єм] у сироватці або плазмі.,exact,9,
Наркотичні речовини та препарати,Хімія,Кров,ug/mL,Ацетамінофен [наявність] у сироватці або плазмі.,Фенітоїн вільний [Маса/об’єм] у сироватці або плазмі.,Фенітоїн вільний [Маса/об’єм] у сироватці або плазмі.,exact,9,
Про-мозковий натрійуретичний пептид,Хімія,Кров,pg/mL,Натрійуретичний пептид.B прогормон N-кінцевий [Маса/об’єм] у Сироватці або Плазмі.,(parse_fail),(no_match),parse_fail,9,"HTTP 429: {
    ""error"": {
        ""message"": ""Rate limit reached for gpt-5-nano in organization org-qODUCuXcX5j40qwOmkqY0ZJU on tokens per min (TPM): Limit 200000, Used 200000, Requested 10498. Please try agai"
NT-proBNP,Хімія,Кров,pg/mL,Натрійуретичний пептид.B прогормон N-кінцевий [Маса/об’єм] у Сироватці або Плазмі.,Натрій [Моль/об’єм] у Сироватці або Плазмі,Натрій [Моль/об’єм] у Сироватці або Плазмі,exact,9,
Ліпід,Хімія,Кров,Ratio,Холестерин.загальний/Холестерин у ЛПВЩ [Перцентиль],Холестерин [Маса/об’єм] у сироватці або плазмі.,Холестерин [Маса/об’єм] у сироватці або плазмі.,exact,9,
Холестерин ліпопротеїнів високої щільності,Хімія,Кров,Ratio,Холестерин.загальний/Холестерин у ЛПВЩ [Перцентиль],Холестерин.загальний [Маса/об’єм] у Сироватці або Плазмі,Білірубін.загальний [Маса/об’єм] у Сироватці або Плазмі,fuzzy,9,
Холестерин.загальний / Холестерин у ЛПВЩ [%],Хімія,Кров,Ratio,Холестерин.загальний/Холестерин у ЛПВЩ [Перцентиль],Холестерин.загальний [Маса/об’єм] у Сироватці або Плазмі,Білірубін.загальний [Маса/об’єм] у Сироватці або Плазмі,fuzzy,9,
Сльозоподібний еритроцит,Гематологія,Кров,,Дацироцити [наявність] у крові за допомогою світлової мікроскопії.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,9,
FR,Хімія,Кров,ng/dL,Тироксин (T4) вільний [Маса/об’єм] у Сироватці або Плазмі.,(parse_fail),(no_match),parse_fail,9,"HTTP 429: {
    ""error"": {
        ""message"": ""Rate limit reached for gpt-5-nano in organization org-qODUCuXcX5j40qwOmkqY0ZJU on tokens per min (TPM): Limit 200000, Used 197553, Requested 10482. Please try agai"
Незв'язаний з білками,Хімія,Кров,ng/dL,Тироксин (T4) вільний [Маса/об’єм] у Сироватці або Плазмі.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,9,
Тироксин,Хімія,Кров,ug/dL,Тироксин (T4) [Маса/об’єм] у сироватці або плазмі.,Тироксин (T4) вільний [Маса/об’єм] у Сироватці або Плазмі.,Тироксин (T4) вільний [Маса/об’єм] у Сироватці або Плазмі.,exact,9,
Масова частка,Хімія,Кров,%,Гемоглобін A1c / Гемоглобін.загальний у крові,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,9,
Кількість еритроцитів Част.,Гематологія,Асцит,#/uL,Еритроцити [#/об’єм] у перитонеальній рідині.,Еритроцити [#/об’єм] у крові за допомогою автоматизованого підрахунку.,Еритроцити [#/об’єм] у крові за допомогою автоматизованого підрахунку.,exact,9,
Синовіальна рідина,Гематологія,Рідка синовіальна рідина,%,Гранулоцити/Лейкоцити в синовіальній рідині,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,9,
Пл. Тромбоцитів Кров Якісно Автом.,Гематологія,Кров,,Тромбоцити великі [наявність] у крові за допомогою автоматизованого підрахунку.,Тромбоцити [#/volume] у крові за допомогою автоматизованого підрахунку.,Тромбоцити [#/volume] у крові за допомогою автоматизованого підрахунку.,exact,9,
Залежність,Хімія,Кров,,"Барбітурати [наявність] у сироватці, плазмі або крові.",Кокаїн [Виявлено] в сечі.,Кокаїн [Виявлено] в сечі.,exact,9,
Барбітурати Ql (С/П/Кров),Хімія,Кров,,"Барбітурати [наявність] у сироватці, плазмі або крові.",Барбітурати [наявність] у сечі.,Барбітурати [наявність] у сечі.,exact,9,
WBC,Гематологія,Спинномозкова рідина (СМР),%,Застарілі Поліморфноядерні клітини/100 лейкоцитів у спинномозковій рідині.,Лейкоцити [#/об’єм] у крові за допомогою ручного підрахунку.,Лейкоцити [#/об’єм] у крові за допомогою ручного підрахунку.,exact,9,
Інтерпретація,Хімія,Кров,,Імунофіксація сироватки або плазми – опис результатів.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,9,
Барбітурат,Хімія,Кров,ug/mL,Фенобарбітал [наявність] у сироватці або плазмі.,Барбітурати [наявність] у сечі.,Барбітурати [наявність] у сечі.,exact,9,
Нірвонал,Хімія,Кров,ug/mL,Фенобарбітал [наявність] у сироватці або плазмі.,Хімія,(no_match),no_match,9,
Калорійний голодний тест,Хімія,Кров,mg/dL,Тригліцериди [Маса/об’єм] у сироватці або плазмі -- 12 годин голодування.,Глюкоза [Маса/об’єм] у сироватці або плазмі.,Глюкоза [Маса/об’єм] у сироватці або плазмі.,exact,9,
Після,Хімія,Кров,mg/dL,Тригліцериди [Маса/об’єм] у сироватці або плазмі -- 12 годин голодування.,Гематокрит [Об’ємна частка] крові за розрахунком.,Гематокрит [Об’ємна частка] крові за розрахунком.,exact,9,
PST,Хімія,Кров,mg/dL,Тригліцериди [Маса/об’єм] у сироватці або плазмі -- 12 годин голодування.,Здоровий,(no_match),no_match,9,
Ехіноцит,Гематологія,Кров,,Клітини з шипами [Присутність] у крові за допомогою світлової мікроскопії.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,9,
Декстро,Гематологія,Кров,ng/mL,"Фібрин D-димер FEU [Маса/об’єм] у плазмі, бідній на тромбоцити.",Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,9,
Білі кров'яні клітини,Гематологія,Плеври,#/uL,Лейкоцити [#/об’єм] у плевральній рідині.,Лейкоцити [#/об’єм] у крові за допомогою ручного підрахунку.,Лейкоцити [#/об’єм] у крові за допомогою ручного підрахунку.,exact,9,
ГЕМОДИНАМІКА.MOLEC,Гази крові,Кров,,Сатурація киснем крові,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,8,
Лімфа,Гематологія,Асцит,%,Лімфоцити/Лейкоцити в перитонеальній рідині,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,8,
Гемoглoбін,Гематологія,Сеча,mg/dL,Гемоглобін [наявність] у сечі за допомогою тест-смужки.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,8,
Гбг Сеча Кільк. Смужка,Гематологія,Сеча,mg/dL,Гемоглобін [наявність] у сечі за допомогою тест-смужки.,Kокаїн [Виявлено] в сечі.,Кокаїн [Виявлено] в сечі.,fuzzy,8,
Hb,Гематологія,Сеча,mg/dL,Гемоглобін [наявність] у сечі за допомогою тест-смужки.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,8,
Інгальовані гази,Гази крові,Кров,L/min,Швидкість потоку кисню при інгаляції.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,8,
T прайм,Хімія,Кров,ng/ml,Тропонін T.кардіальний [Маса/об’єм] у Сироватці або Плазмі.,Глюкоза [Маса/об’єм] у крові,Глюкоза [Маса/об’єм] у крові,exact,8,
CKMB,Хімія,Кров,%,Креатинкіназа.MB/Креатинкіназа.загальна в Сироватці або Плазмі,MCV [Середній об’єм еритроцитів] в еритроцитах за допомогою автоматизованого підрахунку.,MCV [Середній об’єм еритроцитів] в еритроцитах за допомогою автоматизованого підрахунку.,exact,8,
Антидепрес,Хімія,Кров,,Трициклічні антидепресанти [Виявлено] в сироватці або плазмі.,Антиген поверхні вірусу гепатиту B [Виявлено] в сироватці або плазмі за допомогою імуноаналізу.,Антиген поверхні вірусу гепатиту B [Виявлено] в сироватці або плазмі за допомогою імуноаналізу.,exact,8,
Потенціал для зловживання,Хімія,Кров,ug/mL,Ацетамінофен [наявність] у сироватці або плазмі.,Глюкоза [Маса/об’єм] у крові,Глюкоза [Маса/об’єм] у крові,exact,8,
Гранулоцити NFr Prt,Гематологія,Асцит,%,Гранулоцити/Лейкоцити в перитонеальній рідині.,MCV [Середній об’єм еритроцитів] в еритроцитах за допомогою автоматизованого підрахунку.,MCV [Середній об’єм еритроцитів] в еритроцитах за допомогою автоматизованого підрахунку.,exact,8,
Гранулоцит,Гематологія,Асцит,%,Гранулоцити/Лейкоцити в перитонеальній рідині.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,8,
Холестерин/HDLc Перцентиль Сироватка,Хімія,Кров,Ratio,Холестерин.загальний/Холестерин у ЛПВЩ [Перцентиль],Холестерин [Маса/об’єм] у сироватці або плазмі.,Холестерин [Маса/об’єм] у сироватці або плазмі.,exact,8,
Загальний холестерин,Хімія,Кров,Ratio,Холестерин.загальний/Холестерин у ЛПВЩ [Перцентиль],Холестерин [Маса/об’єм] у сироватці або плазмі.,Холестерин [Маса/об’єм] у сироватці або плазмі.,exact,8,
TC,Хімія,Кров,Ratio,Холестерин.загальний/Холестерин у ЛПВЩ [Перцентиль],Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,8,
Еритроцити,Гематологія,Асцит,#/uL,Еритроцити [#/об’єм] у перитонеальній рідині.,Еритроцити [#/об’єм] у крові за допомогою автоматизованого підрахунку.,Еритроцити [#/об’єм] у крові за допомогою автоматизованого підрахунку.,exact,8,
Cl,Хімія,Сеча,mEq/L,Хлориди [Моль/об’єм] у сечі,Залізо [маса/об’єм] у сироватці або плазмі.,Залізо [маса/об’єм] у сироватці або плазмі.,exact,8,
Долофін,Хімія,Сеча,,Метадон [наявність] у сечі.,Знадобно,(no_match),no_match,8,
Оцінка тромбоцитів,Гематологія,Кров,,Тромбоцити великі [наявність] у крові за допомогою автоматизованого підрахунку.,Тромбоцити [#/volume] у крові за допомогою автоматизованого підрахунку.,Тромбоцити [#/volume] у крові за допомогою автоматизованого підрахунку.,exact,8,
анти-HBsAg,Хімія,Кров,,"Антитіла до поверхневого антигену вірусу гепатиту B [Одиниць/об’єму] в сироватці або плазмі, визначені імуноаналізом.",Антиген поверхні вірусу гепатиту B [Виявлено] в сироватці або плазмі за допомогою імуноаналізу.,Антиген поверхні вірусу гепатиту B [Виявлено] в сироватці або плазмі за допомогою імуноаналізу.,exact,8,
Еритробласти,Гематологія,Кров,%,Ядерні еритроцити [#/об’єм] у крові за допомогою ручного підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,8,
Холестерин у ЛПВЩ [Маса/Об’єм],Хімія,Кров,mg/dL,Холестерин у ЛПВЩ [Маса/об’єм] у Сироватці або Плазмі,Холестерин [Маса/об’єм] у сироватці або плазмі,Холестерин [Маса/об’єм] у сироватці або плазмі.,fuzzy,8,
Незаконний,Хімія,Кров,,"Барбітурати [наявність] у сироватці, плазмі або крові.",Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,8,
